-50160,-31422,-50021,84753,-50220,26392,-26491,-2.9338e+05,-88827,-1.671e+05,2.464e+05,80749,2.8032e+05,-38247,-91080,1.3149e+05,-27297,1.5483e+05,-68102,-53089,-68102,64323,-1.1388e+05,1.059e+05,-1.1671e+05,-62356,2.2417e+05,-2843.2
-1.9207e+05,-4.8956e+05,-1.9325e+05,1.3542e+05,-1.9153e+05,1.8169e+05,-10507,1.0134e+06,2.6021e+05,2.7921e+06,4.8013e+05,1.1489e+05,5.4838e+05,-5.2899e+05,2.6268e+05,-1.4848e+06,-16352,-1.1035e+06,1.6209e+05,-4.1475e+05,1.6209e+05,1.3707e+05,2.817e+05,1.3406e+05,2.8362e+05,-3.3909e+05,4.5456e+05,1.3321e+05
-9.7012,-19.686,-9.7656,-8.1456,-9.6721,-1.2504,-4.2465,1.9459,2.0419,2.3148,10.314,-9.2613,10.654,-20.823,2.159,-36.478,-4.3483,-34.915,-1.1227,-17.385,-1.1227,-8.9414,3.1544,-9.0689,3.265,-14.426,10.111,-0.24477
-1.9809,-1.7868,-1.993,-0.036705,-1.9754,1.2803,-0.8904,1.9615,0.4178,2.041,2.0363,-0.23502,2.0974,-1.9159,0.44173,-2.9596,-0.91126,-2.901,-0.24499,-1.4989,-0.24499,-0.17869,0.64411,-0.20119,0.66646,-1.0774,1.9995,1.4858
-10357,4804.9,22952,12157,-4988.8,-3739.7,3881.4,1791.1,8973.2,27063,-27151,9200.8,-27376,9054.4,11217,-16379,13448,-49818,10033,-12397,10033,8577.2,8818.3,9156.9,-25129,-2904.9,5647.2,3433.5
92867,57072,90885,-23778,93757,-1.5615e+05,1.7092e+05,-1.7314e+05,1.0939e+05,-1.6823e+05,-26370,-2747.4,-31293,60948,1.0773e+05,87159,1.7101e+05,86199,1.5025e+05,48441,1.5025e+05,-8059.6,93265,-5490.7,91623,35952,-23330,-1.6973e+05
2.9411,-2.8811,2.96,-5.9007,2.9325,-7.6201,1.1378,-8.272,-1.2113,-8.3367,-3.9764,-5.5949,-4.0724,-2.6335,-1.2549,-0.53484,1.1745,-0.65534,-0.0039794,-3.4215,-0.0039794,-5.6829,-1.6215,-5.6479,-1.6618,-4.1806,-3.9183,-7.8346
-1.2067,-0.51133,-1.213,-0.20697,-1.2038,0.79228,-0.59055,1.1794,0.26609,1.2176,1.2578,-0.37019,1.2912,-0.46385,0.28216,-0.010607,-0.60328,-0.039679,-0.18276,-0.61078,-0.18276,-0.32457,0.41661,-0.34286,0.4313,-0.74223,1.2375,0.9189
